n1=9
n2=3
n3=1
n4=3
rand("seed", 9313);
T = rand(11,11) + rand(11, 11);
A = floor((1.0 - n3 *0.01 - n4 *0.005 - 0.15)*T)


//output
   0.   0.   1.   0.   0.   0.   0.   0.   0.   0.   1.
   1.   1.   0.   0.   1.   0.   0.   0.   1.   1.   0.
   0.   0.   1.   0.   1.   0.   0.   0.   0.   0.   0.
   0.   0.   0.   1.   1.   1.   0.   0.   1.   0.   1.
   0.   0.   0.   1.   1.   0.   1.   0.   0.   0.   0.
   0.   0.   0.   0.   0.   1.   1.   0.   1.   1.   0.
   0.   0.   0.   1.   0.   1.   0.   1.   0.   0.   0.
   0.   0.   1.   0.   1.   1.   0.   0.   0.   1.   0.
   1.   1.   0.   1.   1.   0.   1.   1.   1.   1.   0.
   0.   0.   0.   0.   0.   0.   0.   0.   0.   1.   1.
   0.   0.   0.   0.   0.   0.   1.   0.   0.   0.   1.
